model_name,target_used,rmse,rmse_rank,mape,mape_rank,mae,mae_rank,r2,r2_rank
LightGBM,target_price,5.336465796362892,1,0.2733688741989442,4,3.2245794645382704,2,0.8929515591928825,1
CatBoost,target_price,5.413634812220809,2,0.2911762554346475,7,3.3103716012606914,4,0.8898331839339132,2
LightGBM,log_target_price,5.506857406165535,3,0.2516603703020449,1,3.2177689985050764,1,0.8860063793764152,3
Random Forest,target_price,5.582430424215031,4,0.2903128164503365,6,3.3196614739987536,5,0.8828561417961428,4
CatBoost,log_target_price,5.72753126880468,5,0.2543586623828555,2,3.3061872265264243,3,0.8766872953504098,5
Random Forest,log_target_price,5.769588647620123,6,0.2704141443427757,3,3.3611119435125083,6,0.874869670929842,6
Extra Trees,target_price,5.806586521867689,7,0.2962638373122325,8,3.4129795517317114,8,0.8732597121847955,7
Extra Trees,log_target_price,5.888664554975016,8,0.2804164753685949,5,3.38257680422009,7,0.8696513562046081,8
Ridge,target_price,6.880826856930445,9,0.3922270988590592,15,4.294842615599522,11,0.822026990152604,9
Lasso,target_price,6.881885049730441,10,0.3919964977967198,13,4.294346514638943,10,0.8219722454996674,10
ElasticNet,target_price,6.882382261260231,11,0.3920420234978994,14,4.294299397879823,9,0.8219465198012044,11
Linear Regression,target_price,6.901883502960357,12,0.3947118153138029,16,4.309038810216048,12,0.8209360605870017,12
Linear Regression,log_target_price,21.4264034530191,13,0.3684857336424088,12,5.308410854897372,16,-0.7257244103660183,13
Ridge,log_target_price,21.439250107382843,14,0.366600824054956,9,5.281871215519498,13,-0.7277944200396387,14
ElasticNet,log_target_price,21.65084613935642,15,0.3671918302297471,10,5.284782641117226,14,-0.7620678736559725,15
Lasso,log_target_price,21.85277862380274,16,0.3681201768244367,11,5.2943487921164,15,-0.7950899607525228,16
