model_name,target_used,price_bin,price_min,price_max,count,residual_std,absolute_error_mean,rmse,mape
CatBoost,log_target_price,"(0.999, 3.5]",1.0,3.5,149,1.245494977857478,1.097203425124273,1.5373231614776377,0.5416096581228992
CatBoost,log_target_price,"(3.5, 5.0]",3.55,5.0,155,1.587781655073845,1.35540209134386,1.785130616214081,0.31641341558288993
CatBoost,log_target_price,"(5.0, 6.5]",5.1,6.5,143,1.5974301265630562,1.1825630011049018,1.5947297950152755,0.20296778355889217
CatBoost,log_target_price,"(6.5, 8.1]",6.6,8.1,138,2.024338292747336,1.5680689833511186,2.0177868716313667,0.21166833008130714
CatBoost,log_target_price,"(8.1, 10.15]",8.2,10.099,145,3.1672047767234752,2.3153664630518085,3.159861059860069,0.2554824163497414
CatBoost,log_target_price,"(10.15, 12.99]",10.2,12.99,150,3.163108990301882,2.4640455172876243,3.176447422994236,0.21231930714581088
CatBoost,log_target_price,"(12.99, 16.5]",13.0,16.5,150,3.1156888399898133,2.4324807995928084,3.1822488852949675,0.16488725457140077
CatBoost,log_target_price,"(16.5, 21.999]",16.7,21.999,138,5.032956205680164,3.712091879250705,5.0192754120247685,0.19369579382699095
CatBoost,log_target_price,"(21.999, 31.49]",22.0,31.49,147,6.013780662258381,5.244960459631188,6.615549445629345,0.20078501949998132
CatBoost,log_target_price,"(31.49, 151.89]",31.5,151.89,145,12.280766536285153,11.82398438475414,14.793447275776494,0.2311293376569031
CatBoost,target_price,"(0.999, 3.5]",1.0,3.5,149,1.6125767585426523,1.5252824321279477,2.0503481961225485,0.7425236670994225
CatBoost,target_price,"(3.5, 5.0]",3.55,5.0,155,1.860010336361505,1.6224568883030122,2.23670184426996,0.3823510826845574
CatBoost,target_price,"(5.0, 6.5]",5.1,6.5,143,1.897480814974303,1.431010003813726,1.9497569976116518,0.24553470278897085
CatBoost,target_price,"(6.5, 8.1]",6.6,8.1,138,2.4435760624598255,1.9383834193847451,2.4680101906303173,0.26287873798023964
CatBoost,target_price,"(8.1, 10.15]",8.2,10.099,145,3.569860329634807,2.529000886097007,3.6164446756597792,0.27907262431193747
CatBoost,target_price,"(10.15, 12.99]",10.2,12.99,150,3.491716740417186,2.6305782242275533,3.4820887744206037,0.22646358442471035
CatBoost,target_price,"(12.99, 16.5]",13.0,16.5,150,3.285945081970548,2.485302213418769,3.274984559744349,0.16835342941500972
CatBoost,target_price,"(16.5, 21.999]",16.7,21.999,138,5.01782705472887,3.7934915722323836,5.024739971236333,0.19780019760872583
CatBoost,target_price,"(21.999, 31.49]",22.0,31.49,147,5.752661543913178,4.6979076196420415,6.035417625842845,0.1803590305526749
CatBoost,target_price,"(31.49, 151.89]",31.5,151.89,145,11.59369094224864,10.579874787307979,13.349412009227445,0.20917843460781185
LightGBM,log_target_price,"(0.999, 3.5]",1.0,3.5,149,1.2586653304412507,1.0613387933445086,1.5168157115720444,0.5378898794781767
LightGBM,log_target_price,"(3.5, 5.0]",3.55,5.0,155,1.6941443477667524,1.3861337913850245,1.8396674833615412,0.3210138391346779
LightGBM,log_target_price,"(5.0, 6.5]",5.1,6.5,143,1.6071675730909794,1.1921533407059615,1.607315706098358,0.20465697311113668
LightGBM,log_target_price,"(6.5, 8.1]",6.6,8.1,138,2.063974351211403,1.583940109357418,2.0567101188512513,0.21327559560191292
LightGBM,log_target_price,"(8.1, 10.15]",8.2,10.099,145,3.3432105134867345,2.1569509431472036,3.332361221373915,0.23793349200820232
LightGBM,log_target_price,"(10.15, 12.99]",10.2,12.99,150,3.134511917946052,2.4418992949755647,3.13976072586233,0.21055689998312777
LightGBM,log_target_price,"(12.99, 16.5]",13.0,16.5,150,3.288208836222469,2.6104855786578085,3.352696748678221,0.17775104605003017
LightGBM,log_target_price,"(16.5, 21.999]",16.7,21.999,138,4.97529784902637,3.6203499125043446,4.957244377901541,0.18769485231298141
LightGBM,log_target_price,"(21.999, 31.49]",22.0,31.49,147,6.1466895034777,5.199479677305629,6.555213903738362,0.19963496688684704
LightGBM,log_target_price,"(31.49, 151.89]",31.5,151.89,145,12.543731074530887,11.043747854077566,13.889141001740125,0.21261135301506776
LightGBM,target_price,"(0.999, 3.5]",1.0,3.5,149,1.5483061052157105,1.3984510547870206,1.9345390201660086,0.67791743798899
LightGBM,target_price,"(3.5, 5.0]",3.55,5.0,155,1.856534130819446,1.6092794105003114,2.1607316819013773,0.3767731081190516
LightGBM,target_price,"(5.0, 6.5]",5.1,6.5,143,1.6995702439279448,1.2127430032013053,1.7466103757099933,0.2089580025058267
LightGBM,target_price,"(6.5, 8.1]",6.6,8.1,138,2.141643871379219,1.656610922645352,2.151162117686684,0.22404396974802002
LightGBM,target_price,"(8.1, 10.15]",8.2,10.099,145,3.6237626262620557,2.249775037859843,3.6376769478334854,0.24829142826277825
LightGBM,target_price,"(10.15, 12.99]",10.2,12.99,150,3.331517082181123,2.4432510929182047,3.3205784039910022,0.21048858123618383
LightGBM,target_price,"(12.99, 16.5]",13.0,16.5,150,3.334589567264474,2.5538272405089675,3.323967878006052,0.17360559131734868
LightGBM,target_price,"(16.5, 21.999]",16.7,21.999,138,5.188757943597171,3.798984885951844,5.197412257770071,0.197413450917075
LightGBM,target_price,"(21.999, 31.49]",22.0,31.49,147,6.102401944096304,5.149947686949989,6.3685583315061285,0.1978536949522949
LightGBM,target_price,"(31.49, 151.89]",31.5,151.89,145,11.9889739975531,10.282500626934203,12.945952415607932,0.1997657362924801
