feature,importance,model_name,target_used,importance_type,abs_importance
screen_size_inch,1458,LightGBM_log_target,price,feature_importance,1458
ram_storage_product_scaled,1057,LightGBM_log_target,price,feature_importance,1057
cpu_tier_encoded,947,LightGBM_log_target,price,feature_importance,947
memory_storage_score,867,LightGBM_log_target,price,feature_importance,867
cpu_family_ord_filled,804,LightGBM_log_target,price,feature_importance,804
storage_gb,749,LightGBM_log_target,price,feature_importance,749
cpu_intel_generation_ord,671,LightGBM_log_target,price,feature_importance,671
ram_gb,651,LightGBM_log_target,price,feature_importance,651
gpu_tier_ord_filled,568,LightGBM_log_target,price,feature_importance,568
no_info_gpu,386,LightGBM_log_target,price,feature_importance,386
brand_segment_business,373,LightGBM_log_target,price,feature_importance,373
brand_Dell,356,LightGBM_log_target,price,feature_importance,356
no_info_model,343,LightGBM_log_target,price,feature_importance,343
condition_score,326,LightGBM_log_target,price,feature_importance,326
cpu_suffix_power_ord_filled,322,LightGBM_log_target,price,feature_importance,322
ram_storage_balance,305,LightGBM_log_target,price,feature_importance,305
cpu_family_group_Intel Core i,259,LightGBM_log_target,price,feature_importance,259
cpu_brand_Intel,214,LightGBM_log_target,price,feature_importance,214
brand_Lenovo,211,LightGBM_log_target,price,feature_importance,211
brand_segment_premium,210,LightGBM_log_target,price,feature_importance,210
brand_segment_gaming_value,205,LightGBM_log_target,price,feature_importance,205
brand_HP,181,LightGBM_log_target,price,feature_importance,181
cpu_amd_generation_ord,179,LightGBM_log_target,price,feature_importance,179
no_info_cpu_tier,155,LightGBM_log_target,price,feature_importance,155
storage_ssd,152,LightGBM_log_target,price,feature_importance,152
model_is_rare,142,LightGBM_log_target,price,feature_importance,142
warranty_expired,135,LightGBM_log_target,price,feature_importance,135
brand_Apple,133,LightGBM_log_target,price,feature_importance,133
cpu_brand_Apple,124,LightGBM_log_target,price,feature_importance,124
warranty_active,123,LightGBM_log_target,price,feature_importance,123
no_info_brand,121,LightGBM_log_target,price,feature_importance,121
brand_ASUS,120,LightGBM_log_target,price,feature_importance,120
model_XPS 13,120,LightGBM_log_target,price,feature_importance,120
cpu_family_group_Intel Core Ultra,111,LightGBM_log_target,price,feature_importance,111
no_info_storage,105,LightGBM_log_target,price,feature_importance,105
cpu_brand_AMD,103,LightGBM_log_target,price,feature_importance,103
brand_Acer,99,LightGBM_log_target,price,feature_importance,99
warranty_not_activated,98,LightGBM_log_target,price,feature_importance,98
model_TUF Gaming F15,98,LightGBM_log_target,price,feature_importance,98
storage_hdd,90,LightGBM_log_target,price,feature_importance,90
model_MacBook Pro,90,LightGBM_log_target,price,feature_importance,90
brand_is_rare,78,LightGBM_log_target,price,feature_importance,78
is_entry_memory_storage,72,LightGBM_log_target,price,feature_importance,72
model_Latitude E Series,70,LightGBM_log_target,price,feature_importance,70
brand_Microsoft,65,LightGBM_log_target,price,feature_importance,65
brand_MSI,60,LightGBM_log_target,price,feature_importance,60
model_X Series,60,LightGBM_log_target,price,feature_importance,60
model_Nitro 5,60,LightGBM_log_target,price,feature_importance,60
model_MacBook Air,55,LightGBM_log_target,price,feature_importance,55
no_info_cpu_brand,53,LightGBM_log_target,price,feature_importance,53
cpu_family_group_Apple Silicon,53,LightGBM_log_target,price,feature_importance,53
model_ThinkPad,48,LightGBM_log_target,price,feature_importance,48
model_Inspiron,48,LightGBM_log_target,price,feature_importance,48
model_Legion 5,42,LightGBM_log_target,price,feature_importance,42
model_Vostro,40,LightGBM_log_target,price,feature_importance,40
model_MacBook Air M2,36,LightGBM_log_target,price,feature_importance,36
model_Gaming Thin GF,35,LightGBM_log_target,price,feature_importance,35
model_Latitude,31,LightGBM_log_target,price,feature_importance,31
model_MacBook Air M1,31,LightGBM_log_target,price,feature_importance,31
cpu_family_group_AMD Ryzen,30,LightGBM_log_target,price,feature_importance,30
model_ProBook,30,LightGBM_log_target,price,feature_importance,30
model_Precision,28,LightGBM_log_target,price,feature_importance,28
model_ROG Strix,28,LightGBM_log_target,price,feature_importance,28
model_Elitebook,26,LightGBM_log_target,price,feature_importance,26
model_Aspire,25,LightGBM_log_target,price,feature_importance,25
model_MacBook Pro M1,24,LightGBM_log_target,price,feature_importance,24
model_ThinkPad X1 Carbon,20,LightGBM_log_target,price,feature_importance,20
cpu_family_group_Intel Low End,18,LightGBM_log_target,price,feature_importance,18
model_Macbook air m4,17,LightGBM_log_target,price,feature_importance,17
model_TUF Gaming,15,LightGBM_log_target,price,feature_importance,15
model_MacBook Pro M2,13,LightGBM_log_target,price,feature_importance,13
model_Latitude 14 7000,10,LightGBM_log_target,price,feature_importance,10
cpu_apple_core_spec,8,LightGBM_log_target,price,feature_importance,8
model_Elitebook 800,6,LightGBM_log_target,price,feature_importance,6
model_Pavilion 15,3,LightGBM_log_target,price,feature_importance,3
model_Vivobook 15,1,LightGBM_log_target,price,feature_importance,1
cpu_brand_Qualcomm,0,LightGBM_log_target,price,feature_importance,0
model_Legion,0,LightGBM_log_target,price,feature_importance,0
model_IdeaPad,0,LightGBM_log_target,price,feature_importance,0
brand_LG,0,LightGBM_log_target,price,feature_importance,0
is_mid_memory_storage,0,LightGBM_log_target,price,feature_importance,0
is_premium_memory_storage,0,LightGBM_log_target,price,feature_importance,0
screen_missing,0,LightGBM_log_target,price,feature_importance,0
storage_missing,0,LightGBM_log_target,price,feature_importance,0
ram_missing,0,LightGBM_log_target,price,feature_importance,0
brand_segment_rare,0,LightGBM_log_target,price,feature_importance,0
